,Yellow,date,fifth,first,fourth,second,third
515,7,6/10/2014,74,2,26,10,24
516,9,6/6/2014,72,12,49,29,37
517,6,6/3/2014,74,19,66,28,62
518,2,5/30/2014,62,10,43,13,42
519,13,5/27/2014,58,1,46,6,10
520,15,5/23/2014,70,12,38,14,21
521,7,5/20/2014,69,10,64,40,63
522,11,5/16/2014,56,13,50,14,16
523,1,5/13/2014,74,37,70,46,48
524,14,5/9/2014,59,10,51,28,39
525,5,5/6/2014,51,18,48,20,27
526,13,5/2/2014,40,1,35,18,26
527,3,4/29/2014,66,7,61,43,59
528,9,6/6/2014,72,12,49,29,37
529,6,6/3/2014,74,19,66,28,62
530,2,5/30/2014,62,10,43,13,42
531,13,5/27/2014,58,1,46,6,10
532,15,5/23/2014,70,12,38,14,21
533,7,5/20/2014,69,10,64,40,63
534,11,5/16/2014,56,13,50,14,16
535,1,5/13/2014,74,37,70,46,48
536,14,5/9/2014,59,10,51,28,39
537,5,5/6/2014,51,18,48,20,27
538,13,5/2/2014,40,1,35,18,26
539,3,4/29/2014,66,7,61,43,59
540,9,4/25/2014,66,3,20,11,18
541,1,4/22/2014,50,2,49,18,19
542,9,4/18/2014,63,18,45,25,38
543,13,4/15/2014,70,4,47,39,46
544,8,4/11/2014,57,3,47,42,44
545,3,4/8/2014,71,35,60,36,41
546,9,4/4/2014,54,1,41,10,15
547,9,4/1/2014,75,10,74,23,68
548,12,3/28/2014,73,2,50,3,9
549,15,3/25/2014,73,19,57,26,51
550,10,3/21/2014,53,2,35,23,30
551,7,3/18/2014,51,11,33,19,24
552,12,3/14/2014,69,7,54,20,40
553,10,3/11/2014,69,9,57,14,56
554,1,3/7/2014,69,11,57,13,51
555,10,3/4/2014,45,10,35,29,31
556,6,2/28/2014,59,3,58,31,50
557,15,2/25/2014,66,12,35,18,25
558,15,2/21/2014,46,23,45,29,32
559,14,2/18/2014,70,23,37,29,31
560,7,2/14/2014,72,20,71,28,35
561,4,2/11/2014,73,43,71,64,67
562,10,2/7/2014,64,11,35,21,23
563,9,2/4/2014,73,25,60,44,49
564,8,1/31/2014,52,3,47,9,13
565,2,1/28/2014,60,7,53,16,28
566,10,1/24/2014,65,22,47,45,46
567,4,1/21/2014,52,8,45,23,33
568,11,1/17/2014,51,1,31,10,26
569,13,1/14/2014,69,4,62,23,26
570,8,1/10/2014,57,8,37,28,36
571,6,1/7/2014,64,13,62,34,56
572,5,1/3/2014,70,22,40,24,25
573,8,12/31/2013,58,8,52,12,34
574,11,12/27/2013,49,4,48,15,35
575,2,12/24/2013,73,23,58,34,53
576,6,12/20/2013,57,3,49,4,31
577,7,12/17/2013,39,8,20,14,17
578,12,12/13/2013,70,19,27,24,26
579,13,12/10/2013,65,5,41,12,22
580,3,12/6/2013,64,11,63,29,44
581,3,12/3/2013,59,7,44,12,41
582,5,11/29/2013,57,9,47,41,43
583,3,11/26/2013,75,27,74,44,59
584,8,11/22/2013,44,17,36,23,35
585,2,11/19/2013,63,14,49,15,29
586,8,11/15/2013,63,25,54,44,49
587,15,11/12/2013,71,20,42,30,32
588,7,11/8/2013,65,41,57,42,51
589,2,11/5/2013,74,2,64,11,42
590,1,11/1/2013,67,32,62,35,49
591,7,10/29/2013,54,20,53,33,50
592,15,10/25/2013,60,6,54,16,45
593,14,10/22/2013,71,2,52,3,19
594,1,10/18/2013,56,5,48,20,45
595,11,10/15/2013,50,4,43,23,30
596,46,10/11/2013,48,3,45,27,37
597,5,10/8/2013,40,6,23,15,19
598,5,10/4/2013,44,4,25,16,24
599,1,10/1/2013,53,7,37,10,30
600,38,9/27/2013,51,9,49,23,27
601,33,9/24/2013,40,4,39,11,32
602,34,9/20/2013,47,1,21,15,20
603,25,9/17/2013,39,6,31,15,27
604,8,9/13/2013,54,9,48,22,28
605,1,9/10/2013,56,2,54,12,18
606,31,9/6/2013,41,2,22,16,17
607,28,9/3/2013,41,4,28,13,14
608,33,8/30/2013,44,6,43,19,24
609,38,8/27/2013,38,4,36,7,30
610,14,8/23/2013,53,1,20,9,17
611,33,8/20/2013,41,13,38,28,35
612,37,8/16/2013,46,7,36,13,26
613,40,8/13/2013,41,2,37,31,32
614,12,8/9/2013,38,11,34,20,30
615,41,8/6/2013,55,1,51,11,16
616,4,8/2/2013,39,8,25,21,23
617,39,7/30/2013,44,25,42,27,36
618,42,7/26/2013,38,4,27,22,23
619,46,7/23/2013,51,25,50,32,35
620,46,7/19/2013,42,16,39,20,24
621,20,7/16/2013,53,10,40,14,21
622,10,7/12/2013,51,4,27,5,25
623,14,7/9/2013,48,3,45,21,43
624,42,7/5/2013,54,2,47,23,41
625,40,7/2/2013,53,36,52,42,51
626,38,6/28/2013,52,8,46,15,35
627,16,6/25/2013,51,3,33,5,28
628,3,6/21/2013,50,3,40,14,17
629,30,6/18/2013,48,6,40,17,34
630,20,6/14/2013,34,2,33,5,31
631,28,6/11/2013,53,15,50,40,45
632,21,6/7/2013,55,1,48,10,37
633,19,6/4/2013,55,10,20,11,12
634,26,5/31/2013,46,2,44,20,26
635,36,5/28/2013,54,4,32,12,25
636,28,5/24/2013,53,4,18,5,16
637,11,5/21/2013,55,2,48,15,17
638,41,5/17/2013,49,11,43,15,35
639,38,5/14/2013,32,6,28,10,12
640,28,5/10/2013,49,1,39,19,20
641,31,5/7/2013,51,1,20,6,13
642,39,5/3/2013,54,2,42,20,34
643,43,4/30/2013,49,21,39,30,34
644,31,4/26/2013,55,17,54,42,49
645,10,4/23/2013,50,9,32,21,22
646,28,4/19/2013,43,6,22,8,12
647,42,4/16/2013,39,2,18,5,15
648,28,4/12/2013,21,1,19,10,13
649,13,4/9/2013,54,17,48,30,41
650,5,4/5/2013,41,8,36,15,23
651,34,4/2/2013,47,7,40,10,14
652,21,3/29/2013,53,25,46,31,36
653,46,3/26/2013,51,20,49,33,46
654,38,3/22/2013,41,14,37,27,34
655,35,3/19/2013,37,3,21,6,14
656,8,3/15/2013,32,4,22,8,17
657,39,3/12/2013,30,9,20,12,19
658,44,3/8/2013,35,4,34,11,25
659,42,3/5/2013,46,6,41,20,39
660,28,4/12/2013,21,1,19,10,13
661,13,4/9/2013,54,17,48,30,41
662,5,4/5/2013,41,8,36,15,23
663,34,4/2/2013,47,7,40,10,14
664,21,3/29/2013,53,25,46,31,36
665,46,3/26/2013,51,20,49,33,46
666,38,3/22/2013,41,14,37,27,34
667,35,3/19/2013,37,3,21,6,14
668,8,3/15/2013,32,4,22,8,17
669,39,3/12/2013,30,9,20,12,19
670,44,3/8/2013,35,4,34,11,25
671,42,3/5/2013,46,6,41,20,39
672,20,3/1/2013,51,17,43,30,38
673,7,2/26/2013,43,6,15,7,13
674,30,2/22/2013,49,9,38,13,24
675,28,2/19/2013,56,1,30,15,19
676,42,2/15/2013,44,11,42,35,41
677,44,2/12/2013,55,9,38,22,32
678,5,2/8/2013,50,6,39,15,20
679,46,2/5/2013,44,2,26,5,10
680,17,2/1/2013,41,1,40,30,32
681,6,1/29/2013,47,8,46,12,27
682,1,1/25/2013,48,11,31,12,17
683,13,1/22/2013,54,7,39,11,16
684,14,1/18/2013,49,8,42,18,25
685,14,1/15/2013,41,1,19,6,12
686,1,1/11/2013,56,24,34,29,30
687,19,1/8/2013,42,3,38,20,21
688,39,1/4/2013,55,1,25,2,23
689,29,1/1/2013,44,4,25,11,21
690,32,12/28/2012,41,10,40,13,32
691,36,12/25/2012,48,2,34,3,18
692,19,12/21/2012,56,3,41,18,32
693,16,12/18/2012,29,1,18,6,7
694,41,12/14/2012,43,11,41,28,33
695,13,12/11/2012,54,39,52,44,51
696,4,12/7/2012,56,7,51,43,44
697,44,12/4/2012,43,3,32,19,24
698,46,11/30/2012,31,11,28,22,24
699,24,11/27/2012,49,5,42,12,26
700,27,11/23/2012,48,8,47,37,44
701,44,11/20/2012,52,9,38,13,22
702,36,11/16/2012,53,5,29,24,26
703,34,11/13/2012,56,6,46,12,31
704,11,11/9/2012,40,18,35,22,33
705,6,11/6/2012,35,3,32,5,13
706,24,11/2/2012,44,4,38,18,22
707,38,10/30/2012,56,5,29,12,18
708,44,10/26/2012,40,4,36,15,24
709,1,10/23/2012,55,1,46,17,42
710,42,10/19/2012,53,14,48,34,36
711,29,10/16/2012,52,13,46,37,40
712,15,10/12/2012,42,6,26,10,24
713,3,10/9/2012,37,6,22,15,16
714,15,10/5/2012,39,8,32,9,16
715,9,10/2/2012,55,10,42,11,20
716,28,9/28/2012,56,6,43,8,14
717,26,9/25/2012,51,7,50,8,23
718,34,9/21/2012,55,3,46,13,14
719,36,9/18/2012,49,5,36,9,22
720,20,9/14/2012,51,16,40,17,21
721,11,9/11/2012,36,5,33,11,20
722,31,9/7/2012,46,15,42,32,38
723,16,9/4/2012,53,16,41,32,39
724,45,8/31/2012,48,31,47,40,41
725,39,8/28/2012,50,4,45,9,40
726,34,8/24/2012,49,25,46,34,45
727,30,8/21/2012,33,5,23,13,20
728,24,8/17/2012,56,8,35,20,24
729,32,8/14/2012,55,15,39,23,34
730,8,8/10/2012,44,10,38,18,36
731,7,8/7/2012,48,30,42,32,33
732,2,8/3/2012,46,2,38,10,13
733,37,7/31/2012,41,5,29,18,21
734,26,7/27/2012,43,2,8,3,4
735,5,7/24/2012,51,5,46,9,38
736,3,7/20/2012,52,2,50,44,48
737,17,7/17/2012,55,1,49,13,21
738,34,7/13/2012,46,6,24,7,13
739,21,7/10/2012,36,3,23,11,19
740,21,7/6/2012,39,20,35,23,28
741,45,7/3/2012,52,3,36,4,24
742,34,6/29/2012,53,28,45,34,39
743,20,6/26/2012,36,3,35,16,23
744,13,6/22/2012,36,10,32,16,19
745,11,6/19/2012,53,11,30,21,27
746,4,6/15/2012,40,8,30,12,18
747,45,6/12/2012,50,2,34,9,17
748,25,6/8/2012,48,4,40,9,34
749,22,6/5/2012,55,37,53,39,42
750,45,6/1/2012,52,2,46,27,38
751,31,5/29/2012,55,2,53,14,29
752,11,5/25/2012,54,9,40,15,21
753,16,5/22/2012,52,10,43,14,35
754,1,5/18/2012,49,3,34,11,22
755,6,5/15/2012,24,10,14,11,12
756,8,5/11/2012,54,3,35,15,29
757,19,5/8/2012,51,2,18,6,8
758,38,5/4/2012,53,4,42,11,21
759,38,5/1/2012,52,24,45,27,31
760,37,4/27/2012,47,2,46,5,45
761,39,4/24/2012,38,3,37,9,15
762,40,4/20/2012,35,14,33,23,26
763,2,4/17/2012,48,1,32,16,24
764,33,4/13/2012,42,9,36,14,17
765,25,4/10/2012,48,2,31,6,12
766,39,4/6/2012,33,2,24,19,20
767,40,4/3/2012,52,11,41,35,38
768,23,3/30/2012,46,2,38,4,23
769,24,3/27/2012,51,9,44,19,34
770,20,3/23/2012,21,6,20,17,19
771,30,3/20/2012,14,1,11,4,6
772,7,3/16/2012,53,28,51,29,43
773,31,3/13/2012,48,2,36,8,30
774,11,3/9/2012,42,9,36,10,27
775,44,3/6/2012,36,20,33,24,31
776,5,3/2/2012,54,16,52,29,48
777,36,2/28/2012,51,6,39,15,29
778,3,2/24/2012,27,1,25,16,18
779,37,2/21/2012,47,9,42,30,39
780,3,2/17/2012,40,16,32,25,28
781,27,2/14/2012,27,3,26,5,10
782,20,2/10/2012,50,3,29,4,18
783,4,2/7/2012,45,17,37,23,30
784,35,2/3/2012,53,7,49,19,21
785,9,1/31/2012,43,9,28,17,18
786,23,1/27/2012,48,3,36,5,30
787,33,1/24/2012,49,10,36,22,24
788,8,1/20/2012,47,1,38,9,28
789,27,1/17/2012,53,3,36,15,31
790,19,1/13/2012,51,10,37,27,28
791,34,1/10/2012,48,4,38,10,16
792,3,2/17/2012,40,16,32,25,28
793,27,2/14/2012,27,3,26,5,10
794,20,2/10/2012,50,3,29,4,18
795,4,2/7/2012,45,17,37,23,30
796,35,2/3/2012,53,7,49,19,21
797,9,1/31/2012,43,9,28,17,18
798,23,1/27/2012,48,3,36,5,30
799,33,1/24/2012,49,10,36,22,24
800,8,1/20/2012,47,1,38,9,28
801,27,1/17/2012,53,3,36,15,31
802,19,1/13/2012,51,10,37,27,28
803,34,1/10/2012,48,4,38,10,16
804,46,1/6/2012,48,9,34,17,28
805,23,1/3/2012,36,2,22,3,15
806,1,12/30/2011,52,4,46,24,45
807,8,12/27/2011,43,23,39,32,33
808,14,12/23/2011,29,3,18,5,8
809,31,12/20/2011,51,20,45,24,27
810,27,12/16/2011,39,2,36,4,26
811,6,12/13/2011,41,5,26,6,22
812,44,12/9/2011,51,4,49,12,29
813,39,12/6/2011,49,7,35,21,29
814,45,12/2/2011,56,24,51,30,48
815,36,11/29/2011,52,17,48,29,43
816,43,11/25/2011,54,22,49,28,42
817,38,11/22/2011,48,4,33,16,23
818,3,11/18/2011,55,4,39,13,33
819,21,11/15/2011,33,3,30,6,24
820,27,11/11/2011,50,2,29,16,22
821,4,11/8/2011,54,5,47,31,45
822,1,11/4/2011,44,26,33,30,32
823,36,11/1/2011,46,27,40,31,39
824,41,10/28/2011,56,13,52,31,49
825,8,10/25/2011,46,13,44,33,40
826,17,10/21/2011,38,6,37,21,35
827,42,10/18/2011,53,24,47,25,45
828,26,10/14/2011,54,13,45,35,42
829,27,10/11/2011,56,25,44,34,38
830,19,10/7/2011,38,5,23,15,19
831,11,10/4/2011,52,3,45,26,40
832,29,9/30/2011,45,3,44,19,21
833,37,9/27/2011,45,2,36,20,28
834,36,9/23/2011,52,21,40,27,32
835,39,9/20/2011,51,6,50,29,38
836,24,9/16/2011,56,6,45,23,41
837,45,9/13/2011,56,22,48,31,43
838,45,9/9/2011,31,7,23,12,19
839,19,9/6/2011,49,1,42,36,38
840,20,9/2/2011,55,25,49,44,48
841,18,8/30/2011,50,2,28,22,25
842,36,8/26/2011,47,2,30,3,27
843,23,8/23/2011,49,11,48,21,44
844,22,8/19/2011,56,5,54,15,53
845,44,8/16/2011,43,4,42,38,41
846,13,8/12/2011,55,9,54,43,51
847,15,8/9/2011,54,11,45,19,39
848,19,8/5/2011,42,6,33,24,28
849,28,8/2/2011,32,14,20,17,19
850,35,7/29/2011,48,8,47,10,22
851,10,7/26/2011,55,20,52,25,35
852,38,7/22/2011,56,23,39,31,32
853,40,7/19/2011,35,2,16,9,10
854,6,7/15/2011,56,16,46,29,30
855,9,7/12/2011,49,3,44,9,11
856,45,7/8/2011,50,1,37,2,22
857,19,7/5/2011,46,1,18,10,13
858,26,7/1/2011,47,12,35,17,30
859,33,6/28/2011,48,12,47,17,27
860,4,6/24/2011,51,10,49,14,40
861,17,6/21/2011,46,11,31,24,25
862,24,6/17/2011,51,12,47,29,46
863,24,6/14/2011,53,9,51,10,20
864,7,6/10/2011,38,18,37,21,27
865,13,6/7/2011,52,29,47,32,35
866,31,6/3/2011,53,20,49,23,41
867,13,5/31/2011,55,28,37,30,31
868,10,5/27/2011,56,5,28,7,14
869,42,5/24/2011,43,9,42,12,21
870,30,5/20/2011,48,10,45,17,19
871,45,5/17/2011,48,1,25,2,17
872,9,5/13/2011,53,3,47,33,39
873,34,5/10/2011,51,11,40,16,34
874,9,5/6/2011,41,6,37,18,26
875,16,5/3/2011,50,1,36,16,29
876,29,4/29/2011,51,9,33,10,11
877,15,4/26/2011,55,19,38,29,32
878,17,4/22/2011,53,3,51,18,46
879,43,4/19/2011,51,20,45,24,32
880,29,4/15/2011,48,22,39,23,33
881,15,4/12/2011,45,10,41,23,39
882,11,4/8/2011,56,6,50,40,45
883,9,4/5/2011,36,1,31,19,20
884,19,4/1/2011,53,13,36,14,35
885,43,3/29/2011,38,6,34,15,23
886,4,3/25/2011,54,22,52,24,31
887,43,3/22/2011,53,1,50,14,35
888,37,3/18/2011,56,14,54,33,34
889,45,3/15/2011,43,10,28,11,12
890,6,3/11/2011,45,14,42,19,21
891,24,3/8/2011,55,3,41,17,19
892,7,3/4/2011,41,8,23,10,15
893,25,3/1/2011,47,1,20,12,19
894,7,2/25/2011,50,4,19,5,17
895,31,2/22/2011,55,15,48,22,23
896,42,2/18/2011,45,5,30,6,7
897,18,2/15/2011,39,17,35,18,24
898,13,2/11/2011,34,8,32,9,17
899,18,2/8/2011,48,25,47,35,36
900,6,2/4/2011,55,6,48,20,29
901,31,2/1/2011,35,16,26,22,23
902,18,1/28/2011,50,14,49,33,48
903,4,1/25/2011,50,5,46,8,31
904,20,1/21/2011,38,5,35,9,21
905,5,1/18/2011,45,4,38,27,29
906,8,1/14/2011,35,2,33,15,17
907,37,1/11/2011,45,1,16,4,11
908,20,1/7/2011,53,4,46,22,42
909,42,1/4/2011,47,4,25,8,15
910,9,12/31/2010,56,10,35,12,13
911,7,12/28/2010,49,6,40,18,36
912,16,12/24/2010,52,15,40,16,27
913,29,12/21/2010,32,8,31,11,12
914,12,12/17/2010,53,11,46,20,26
915,29,12/14/2010,38,18,31,22,25
916,36,12/10/2010,46,23,44,27,33
917,9,12/7/2010,54,4,53,38,45
918,12,12/3/2010,56,6,18,11,12
919,2,11/30/2010,53,11,47,16,19
920,8,11/26/2010,47,5,43,9,34
921,33,11/23/2010,35,2,34,6,12
922,35,11/19/2010,54,7,51,14,31
923,21,11/16/2010,46,1,39,26,27
924,16,12/24/2010,52,15,40,16,27
925,29,12/21/2010,32,8,31,11,12
926,12,12/17/2010,53,11,46,20,26
927,29,12/14/2010,38,18,31,22,25
928,36,12/10/2010,46,23,44,27,33
929,9,12/7/2010,54,4,53,38,45
930,12,12/3/2010,56,6,18,11,12
931,2,11/30/2010,53,11,47,16,19
932,8,11/26/2010,47,5,43,9,34
933,33,11/23/2010,35,2,34,6,12
934,35,11/19/2010,54,7,51,14,31
935,21,11/16/2010,46,1,39,26,27
936,10,11/12/2010,38,9,35,26,28
937,11,11/9/2010,53,8,33,26,28
938,15,11/5/2010,53,19,46,25,34
939,46,11/2/2010,54,1,16,3,12
940,14,10/29/2010,39,4,28,19,26
941,26,10/26/2010,32,15,31,21,30
942,18,10/22/2010,53,2,32,7,18
943,41,10/19/2010,42,2,37,9,14
944,10,10/15/2010,50,9,31,10,13
945,15,10/12/2010,43,10,37,31,36
946,19,10/8/2010,50,24,48,29,37
947,27,10/5/2010,44,10,37,19,24
948,43,10/1/2010,52,3,28,8,21
949,18,9/28/2010,38,2,36,10,13
950,25,9/24/2010,55,2,42,28,38
951,26,9/21/2010,52,3,47,20,43
952,13,9/17/2010,27,3,18,4,14
953,1,9/14/2010,56,6,55,14,50
954,20,9/10/2010,23,11,21,12,17
955,23,9/7/2010,38,8,24,18,22
956,9,9/3/2010,36,10,28,13,20
957,38,8/31/2010,48,10,47,20,29
958,31,8/27/2010,41,4,32,10,26
959,31,8/24/2010,32,4,28,23,24
960,36,8/20/2010,48,4,29,13,20
961,33,8/17/2010,44,11,43,19,40
962,36,8/13/2010,55,6,43,17,24
963,12,8/10/2010,56,2,50,14,26
964,30,8/6/2010,54,7,33,13,30
965,32,8/3/2010,56,4,22,13,20
966,42,7/30/2010,52,11,48,30,40
967,8,7/27/2010,29,2,16,7,10
968,26,7/23/2010,49,16,44,19,39
969,19,7/20/2010,43,12,36,18,28
970,34,7/16/2010,39,2,20,15,18
971,14,7/13/2010,34,7,15,11,14
972,41,7/9/2010,50,1,34,31,33
973,36,7/6/2010,50,8,47,18,45
974,25,7/2/2010,36,1,32,10,12
975,35,6/29/2010,37,3,27,4,15
976,21,6/25/2010,27,1,19,2,13
977,24,6/22/2010,30,12,23,17,21
978,7,6/18/2010,55,11,41,36,37
979,46,6/15/2010,27,4,21,12,13
980,25,6/11/2010,42,6,34,13,33
981,6,6/8/2010,54,12,48,18,28
982,23,6/4/2010,50,12,17,13,15
983,30,6/1/2010,51,12,45,27,44
984,26,5/28/2010,39,3,29,11,20
985,25,5/25/2010,24,5,19,14,17
986,17,5/21/2010,30,15,26,20,23
987,26,5/18/2010,40,11,37,13,19
988,12,5/14/2010,56,20,47,21,40
989,9,5/11/2010,54,26,46,33,43
990,40,5/7/2010,50,2,34,7,20
991,8,5/4/2010,43,9,36,21,31
992,40,4/30/2010,53,14,47,20,41
993,6,4/27/2010,55,23,50,37,41
994,18,4/23/2010,52,19,37,26,28
995,25,4/20/2010,42,5,34,8,10
996,44,4/16/2010,50,10,48,16,31
997,32,4/13/2010,47,3,39,12,27
998,3,4/9/2010,53,15,48,18,39
999,26,4/6/2010,56,16,52,43,44
1000,19,4/2/2010,31,2,30,17,22
1001,41,3/30/2010,44,1,38,11,24
1002,22,3/26/2010,52,23,47,41,46
1003,13,3/23/2010,40,3,29,25,28
1004,25,3/19/2010,54,10,50,31,45
1005,13,3/16/2010,56,3,52,22,48
1006,41,3/12/2010,53,2,48,15,25
1007,16,3/9/2010,29,14,19,16,18
1008,32,3/5/2010,52,11,44,31,34
1009,25,3/2/2010,56,9,48,12,47
1010,40,2/26/2010,56,4,54,14,29
1011,18,2/23/2010,53,4,40,16,36
1012,36,2/19/2010,46,1,42,22,39
1013,5,2/16/2010,45,11,29,12,21
1014,23,2/12/2010,47,14,33,16,17
1015,12,2/9/2010,48,2,26,17,20
1016,41,2/5/2010,53,10,51,20,45
1017,9,2/2/2010,49,6,27,7,26
1018,32,3/5/2010,52,11,44,31,34
1019,25,3/2/2010,56,9,48,12,47
1020,40,2/26/2010,56,4,54,14,29
1021,18,2/23/2010,53,4,40,16,36
1022,36,2/19/2010,46,1,42,22,39
1023,5,2/16/2010,45,11,29,12,21
1024,23,2/12/2010,47,14,33,16,17
1025,12,2/9/2010,48,2,26,17,20
1026,41,2/5/2010,53,10,51,20,45
1027,9,2/2/2010,49,6,27,7,26
